Image,Neoplastic,Inflammatory,Connective,Dead,Epithelial
3_0.png,10,1,2,0,0
3_1.png,4,0,4,0,0
3_10.png,9,1,1,0,0
3_100.png,17,1,2,0,0
3_1000.png,24,0,0,15,0
3_1001.png,35,0,0,2,0
3_1002.png,43,2,0,0,0
3_1003.png,32,1,0,1,0
3_1004.png,112,19,9,0,0
3_1005.png,12,136,66,0,0
3_1006.png,45,6,44,0,0
3_1007.png,0,71,106,0,9
3_1008.png,1,28,8,0,0
3_1009.png,20,0,3,0,0
3_101.png,49,0,0,0,0
3_1010.png,1,3,16,0,0
3_1011.png,2,11,13,0,0
3_1012.png,0,6,7,0,0
3_1013.png,0,9,14,0,0
3_1014.png,1,8,14,0,0
3_1015.png,0,3,20,0,0
3_1016.png,0,0,0,0,0
3_1017.png,21,0,2,0,0
3_1018.png,0,76,3,0,0
3_1019.png,0,59,6,0,0
3_102.png,6,0,8,0,0
3_1020.png,0,0,11,0,3
3_1021.png,0,0,0,0,39
3_1022.png,0,0,0,0,21
3_1023.png,0,0,0,0,1
3_1024.png,0,0,0,0,4
3_1025.png,0,0,0,0,7
3_1026.png,0,1,11,0,27
3_1027.png,0,5,37,0,0
3_1028.png,0,7,35,0,11
3_1029.png,0,3,42,0,0
3_103.png,0,65,7,0,0
3_1030.png,0,2,10,0,0
3_1031.png,0,2,4,0,0
3_1032.png,0,2,8,0,0
3_1033.png,0,0,7,0,0
3_1034.png,0,0,9,0,0
3_1035.png,0,0,6,0,0
3_1036.png,0,2,5,0,0
3_1037.png,0,0,3,0,0
3_1038.png,26,0,10,0,0
3_1039.png,0,2,5,0,0
3_104.png,4,13,12,0,0
3_1040.png,27,0,2,0,0
3_1041.png,0,0,3,0,0
3_1042.png,19,3,6,0,0
3_1043.png,0,0,5,0,0
3_1044.png,0,0,14,0,0
3_1045.png,0,0,10,0,0
3_1046.png,0,0,17,0,0
3_1047.png,0,0,12,0,0
3_1048.png,0,0,11,0,0
3_1049.png,0,0,12,0,0
3_105.png,0,0,6,0,12
3_1050.png,0,0,14,0,0
3_1051.png,0,0,5,0,0
3_1052.png,0,2,16,0,0
3_1053.png,0,0,16,0,0
3_1054.png,0,0,12,0,0
3_1055.png,0,0,14,0,0
